"Plant_Community","Sampling_Frame","Decimal_Latitude","Decimal_Longitude","GeodeticDatum","Date","Species_Code","Scientific_Name","Vernacular_Name","Life_Form"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"MORFAY","Morella faya","fire tree","Tree"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"NEPBRO","Nephrolepis brownii","sword fern","Fern"
"Wet Forest","Nahuku / East Rift",19.386043,-155.229628,"EPSG: 4326",2010-11-15,"RUBROS1","Rubus rosifolius","thimbleberry","Shrub"
